Gene stable ID	Transcript stable ID	Gene name
YPL189C-A	YPL189C-A	COA2
YDR262W	YDR262W	
YFL012W	YFL012W	
YLR078C	YLR078C	BOS1
YDR072C	YDR072C	IPT1
YDR179C	YDR179C	CSN9
YKL153W	YKL153W	
YOR108C-A	YOR108C-A	
YGR220C	YGR220C	MRPL9
YIL053W	YIL053W	GPP1
YMR161W	YMR161W	HLJ1
YER011W	YER011W	TIR1
YDR258C	YDR258C	HSP78
YDR467C	YDR467C	
YGL162W	YGL162W	SUT1
YNL243W	YNL243W	SLA2
YBR234C	YBR234C	ARC40
YNL047C	YNL047C	SLM2
YKL038W	YKL038W	RGT1
YFL053W	YFL053W	DAK2
YOR200W	YOR200W	
YKR060W	YKR060W	UTP30
YPR200C	YPR200C	ARR2
YLR411W	YLR411W	CTR3
YLR318W	YLR318W	EST2
YHR150W	YHR150W	PEX28
YGL219C	YGL219C	MDM34
YFL009W	YFL009W	CDC4
YBR045C	YBR045C	GIP1
YMR039C	YMR039C	SUB1
YKL195W	YKL195W	MIA40
YPR127W	YPR127W	
YPL188W	YPL188W	POS5
YGL147C	YGL147C	RPL9A
YDR217C	YDR217C	RAD9
YML015C	YML015C	TAF11
YJR126C	YJR126C	VPS70
YPR026W	YPR026W	ATH1
YHR073W	YHR073W	OSH3
YMR274C	YMR274C	RCE1
YMR008C	YMR008C	PLB1
YHR125W	YHR125W	
YER119C-A	YER119C-A	
YDL227C	YDL227C	HO
YOR197W	YOR197W	MCA1
YDR034C-C	YDR034C-C	
YNL081C	YNL081C	SWS2
YKL096W-A	YKL096W-A	CWP2
YDR532C	YDR532C	KRE28
YNL319W	YNL319W	
YDR049W	YDR049W	VMS1
YBR113W	YBR113W	
YKL170W	YKL170W	MRPL38
YJL043W	YJL043W	
YGL047W	YGL047W	ALG13
YLR006C	YLR006C	SSK1
YHR079C	YHR079C	IRE1
YPR171W	YPR171W	BSP1
YML063W	YML063W	RPS1B
YLR178C	YLR178C	TFS1
YHL029C	YHL029C	OCA5
YJL090C	YJL090C	DPB11
YBR008C	YBR008C	FLR1
YDR372C	YDR372C	VPS74
YOR184W	YOR184W	SER1
YHR218W	YHR218W	
YMR203W	YMR203W	TOM40
YBL006W-A	YBL006W-A	
YIR008C	YIR008C	PRI1
YBL024W	YBL024W	NCL1
YDR317W	YDR317W	HIM1
YOL166C	YOL166C	
YJL087C	YJL087C	TRL1
YJL038C	YJL038C	LOH1
YDR043C	YDR043C	NRG1
YHR028C	YHR028C	DAP2
YOR340C	YOR340C	RPA43
YCL044C	YCL044C	MGR1
YEL072W	YEL072W	RMD6
YFR022W	YFR022W	ROG3
YIR010W	YIR010W	DSN1
YBL008W	YBL008W	HIR1
YMR178W	YMR178W	
YOL008W	YOL008W	COQ10
YHR017W	YHR017W	YSC83
YKR101W	YKR101W	SIR1
YMR095C	YMR095C	SNO1
YHR198C	YHR198C	AIM18
YOR076C	YOR076C	SKI7
YGL015C	YGL015C	
YNL219C	YNL219C	ALG9
YLR210W	YLR210W	CLB4
YIL034C	YIL034C	CAP2
YLR148W	YLR148W	PEP3
YOR342C	YOR342C	
YOL070C	YOL070C	NBA1
YDL160C	YDL160C	DHH1
YIL043C	YIL043C	CBR1
YLR124W	YLR124W	
YGR231C	YGR231C	PHB2
YPR202W	YPR202W	
YGR034W	YGR034W	RPL26B
YMR266W	YMR266W	RSN1
YNL021W	YNL021W	HDA1
YPL107W	YPL107W	
YGR088W	YGR088W	CTT1
YHR173C	YHR173C	
YCR063W	YCR063W	BUD31
YHR073W-A	YHR073W-A	
YDL048C	YDL048C	STP4
YML092C	YML092C	PRE8
YPR097W	YPR097W	
YBR201C-A	YBR201C-A	
YNL056W	YNL056W	OCA2
YAL020C	YAL020C	ATS1
YDL025C	YDL025C	RTK1
YDL243C	YDL243C	AAD4
YFL017C	YFL017C	GNA1
YGL197W	YGL197W	MDS3
YLR256W-A	YLR256W-A	
YHR092C	YHR092C	HXT4
YLL011W	YLL011W	SOF1
YDR379C-A	YDR379C-A	SDH6
YDR113C	YDR113C	PDS1
YLR189C	YLR189C	ATG26
YNR074C	YNR074C	AIF1
YOL159C	YOL159C	
YDL247W	YDL247W	MPH2
YFL028C	YFL028C	CAF16
YML032C	YML032C	RAD52
YBR256C	YBR256C	RIB5
YOR081C	YOR081C	TGL5
YLR442C	YLR442C	SIR3
YPL024W	YPL024W	RMI1
YMR257C	YMR257C	PET111
YDL219W	YDL219W	DTD1
YKL122C	YKL122C	SRP21
YKR040C	YKR040C	
YDL080C	YDL080C	THI3
YGL240W	YGL240W	DOC1
YEL001C	YEL001C	IRC22
YLR374C	YLR374C	
YPR168W	YPR168W	NUT2
YDL034W	YDL034W	
YHR109W	YHR109W	CTM1
YJL060W	YJL060W	BNA3
YPL061W	YPL061W	ALD6
YDR223W	YDR223W	CRF1
YER174C	YER174C	GRX4
YGR104C	YGR104C	SRB5
YLR240W	YLR240W	VPS34
YPR062W	YPR062W	FCY1
YDR402C	YDR402C	DIT2
YLR037C	YLR037C	PAU23
YMR146C	YMR146C	TIF34
YGR241C	YGR241C	YAP1802
YGL062W	YGL062W	PYC1
YPR057W	YPR057W	BRR1
YIL012W	YIL012W	
YDR156W	YDR156W	RPA14
YJR113C	YJR113C	RSM7
YLR416C	YLR416C	
YPR131C	YPR131C	NAT3
YLR029C	YLR029C	RPL15A
YMR155W	YMR155W	
YNL180C	YNL180C	RHO5
YGR164W	YGR164W	
YOL106W	YOL106W	
YIL140W	YIL140W	AXL2
YIL171W-A	YIL171W-A	
YDR272W	YDR272W	GLO2
YDR114C	YDR114C	
YOR238W	YOR238W	
YPR077C	YPR077C	
YKL142W	YKL142W	MRP8
YLR139C	YLR139C	SLS1
YNR044W	YNR044W	AGA1
YPR009W	YPR009W	SUT2
YHR032W	YHR032W	ERC1
YDR429C	YDR429C	TIF35
YGL079W	YGL079W	KXD1
YNR031C	YNR031C	SSK2
YHR084W	YHR084W	STE12
YOR004W	YOR004W	UTP23
YMR086C-A	YMR086C-A	
YMR233W	YMR233W	TRI1
YMR244W	YMR244W	
YLL010C	YLL010C	PSR1
YNL188W	YNL188W	KAR1
YKL156C-A	YKL156C-A	
YNL104C	YNL104C	LEU4
YIL005W	YIL005W	EPS1
YOR365C	YOR365C	
YNR030W	YNR030W	ALG12
YBR265W	YBR265W	TSC10
Q0055	Q0055	AI2
YGL131C	YGL131C	SNT2
YDL162C	YDL162C	
YDR246W-A	YDR246W-A	
YHR033W	YHR033W	
YNR040W	YNR040W	
YNR034W	YNR034W	SOL1
YEL076C	YEL076C	
YHL046W-A	YHL046W-A	
YDL071C	YDL071C	
YOR173W	YOR173W	DCS2
YOR337W	YOR337W	TEA1
YGL104C	YGL104C	VPS73
YNL181W	YNL181W	
YDR164C	YDR164C	SEC1
YGR243W	YGR243W	MPC3
YOR107W	YOR107W	RGS2
YDR464W	YDR464W	SPP41
YGR210C	YGR210C	
YLR012C	YLR012C	
YOR168W	YOR168W	GLN4
YLR054C	YLR054C	OSW2
YNL002C	YNL002C	RLP7
YHR193C	YHR193C	EGD2
YNL294C	YNL294C	RIM21
YOR005C	YOR005C	DNL4
YPR147C	YPR147C	
YBR092C	YBR092C	PHO3
YJL028W	YJL028W	
YOR242C	YOR242C	SSP2
YLR077W	YLR077W	FMP25
YCR081W	YCR081W	SRB8
YOR396C-A	YOR396C-A	
YLR458W	YLR458W	
YBL040C	YBL040C	ERD2
YJR127C	YJR127C	RSF2
YJL176C	YJL176C	SWI3
YLR453C	YLR453C	RIF2
YCR007C	YCR007C	
YHR128W	YHR128W	FUR1
YOR297C	YOR297C	TIM18
YDR225W	YDR225W	HTA1
YPR020W	YPR020W	ATP20
YJR003C	YJR003C	
YIL101C	YIL101C	XBP1
YHR136C	YHR136C	SPL2
YPR114W	YPR114W	
YPL189W	YPL189W	GUP2
YJL056C	YJL056C	ZAP1
YPR169W-A	YPR169W-A	
YLR264C-A	YLR264C-A	
YPL247C	YPL247C	
YDR482C	YDR482C	CWC21
YJL122W	YJL122W	ALB1
YBL058W	YBL058W	SHP1
YLL039C	YLL039C	UBI4
YKL107W	YKL107W	
YCL017C	YCL017C	NFS1
YER085C	YER085C	
YMR186W	YMR186W	HSC82
YCR065W	YCR065W	HCM1
YOR388C	YOR388C	FDH1
YLR002C	YLR002C	NOC3
YFL045C	YFL045C	SEC53
YPR091C	YPR091C	NVJ2
YOL083W	YOL083W	ATG34
YLR307C-A	YLR307C-A	
YDR366C	YDR366C	
Q0065	Q0065	AI4
YER190C-A	YER190C-A	
YDR545C-A	YDR545C-A	
YNL020C	YNL020C	ARK1
YGL125W	YGL125W	MET13
YKR038C	YKR038C	KAE1
YDL215C	YDL215C	GDH2
YLR354C	YLR354C	TAL1
YCR022C	YCR022C	
YFR008W	YFR008W	FAR7
YDR284C	YDR284C	DPP1
YFL013C	YFL013C	IES1
YKL051W	YKL051W	SFK1
YPR174C	YPR174C	
YMR091C	YMR091C	NPL6
YJL143W	YJL143W	TIM17
YDR112W	YDR112W	IRC2
YGR057C	YGR057C	LST7
YKL194C	YKL194C	MST1
YLR308W	YLR308W	CDA2
YBR065C	YBR065C	ECM2
YMR029C	YMR029C	FAR8
YHL042W	YHL042W	
YPR121W	YPR121W	THI22
YNL068C	YNL068C	FKH2
YLR156C-A	YLR156C-A	
YGL157W	YGL157W	ARI1
YGL178W	YGL178W	MPT5
YMR148W	YMR148W	OSW5
YML058W	YML058W	SML1
YLR249W	YLR249W	YEF3
YGR019W	YGR019W	UGA1
YJL049W	YJL049W	
YBR263W	YBR263W	SHM1
YOR249C	YOR249C	APC5
YBL097W	YBL097W	BRN1
YCR020W-B	YCR020W-B	HTL1
YPR044C	YPR044C	OPI11
YDR286C	YDR286C	
YDR170W-A	YDR170W-A	
YLR342W-A	YLR342W-A	
YGR027W-A	YGR027W-A	
YBL043W	YBL043W	ECM13
YLR018C	YLR018C	POM34
YMR076C	YMR076C	PDS5
YOR251C	YOR251C	TUM1
YAR070C	YAR070C	
YBR124W	YBR124W	
YJR135W-A	YJR135W-A	TIM8
YOR186W	YOR186W	
YDR083W	YDR083W	RRP8
YOR011W-A	YOR011W-A	
YOR267C	YOR267C	HRK1
YLR109W	YLR109W	AHP1
YOR032C	YOR032C	HMS1
YOR091W	YOR091W	TMA46
YKR059W	YKR059W	TIF1
YBR205W	YBR205W	KTR3
YLR316C	YLR316C	TAD3
YDR406W-A	YDR406W-A	
YLR292C	YLR292C	SEC72
YCR044C	YCR044C	PER1
YLR216C	YLR216C	CPR6
YDR046C	YDR046C	BAP3
YGR069W	YGR069W	
YJL092W	YJL092W	SRS2
YDR096W	YDR096W	GIS1
YML018C	YML018C	
YLR445W	YLR445W	GMC2
YOR138C	YOR138C	RUP1
YOR369C	YOR369C	RPS12
YGR246C	YGR246C	BRF1
YJR145C	YJR145C	RPS4A
YJR138W	YJR138W	IML1
YHR059W	YHR059W	FYV4
YLR138W	YLR138W	NHA1
YHL009W-B	YHL009W-B	
YDR098C-B	YDR098C-B	
YNL156C	YNL156C	NSG2
YNL106C	YNL106C	INP52
YNL286W	YNL286W	CUS2
YNL093W	YNL093W	YPT53
YIL040W	YIL040W	APQ12
YKL104C	YKL104C	GFA1
YLR186W	YLR186W	EMG1
YDR425W	YDR425W	SNX41
YGL134W	YGL134W	PCL10
YJR094W-A	YJR094W-A	RPL43B
YDR293C	YDR293C	SSD1
YBL113W-A	YBL113W-A	
YNR015W	YNR015W	SMM1
YKL006W	YKL006W	RPL14A
YLR456W	YLR456W	
YDR448W	YDR448W	ADA2
YIL166C	YIL166C	
YDR097C	YDR097C	MSH6
YER184C	YER184C	TOG1
YJL047C-A	YJL047C-A	
YJL066C	YJL066C	MPM1
YKL095W	YKL095W	YJU2
YLR368W	YLR368W	MDM30
YOR194C	YOR194C	TOA1
YGR060W	YGR060W	ERG25
YHR041C	YHR041C	SRB2
YBR115C	YBR115C	LYS2
YCR097W	YCR097W	HMRA1
YBR147W	YBR147W	RTC2
YFL003C	YFL003C	MSH4
YHR086W	YHR086W	NAM8
YOL120C	YOL120C	RPL18A
YML079W	YML079W	
YOR125C	YOR125C	CAT5
YLR065C	YLR065C	ENV10
YNL298W	YNL298W	CLA4
YPL134C	YPL134C	ODC1
YER078C	YER078C	ICP55
YGL225W	YGL225W	VRG4
YLR129W	YLR129W	DIP2
YNL224C	YNL224C	SQS1
YNL122C	YNL122C	
YGL066W	YGL066W	SGF73
YCL067C	YCL067C	HMLALPHA2
YNL217W	YNL217W	
YGL063W	YGL063W	PUS2
YML030W	YML030W	RCF1
YPL152W-A	YPL152W-A	
YAL039C	YAL039C	CYC3
YOR261C	YOR261C	RPN8
YLR191W	YLR191W	PEX13
YMR316W	YMR316W	DIA1
YCR027C	YCR027C	RHB1
YDL046W	YDL046W	NPC2
YER125W	YER125W	RSP5
YMR263W	YMR263W	SAP30
YOL113W	YOL113W	SKM1
YAL001C	YAL001C	TFC3
YDR517W	YDR517W	GRH1
YBR197C	YBR197C	
YDR192C	YDR192C	NUP42
YJR132W	YJR132W	NMD5
YER021W	YER021W	RPN3
YGL034C	YGL034C	
YKL014C	YKL014C	URB1
YDL106C	YDL106C	PHO2
YGR197C	YGR197C	SNG1
YDR365C	YDR365C	ESF1
YNL280C	YNL280C	ERG24
YCR030C	YCR030C	SYP1
YDL154W	YDL154W	MSH5
YDR505C	YDR505C	PSP1
YGL033W	YGL033W	HOP2
YMR211W	YMR211W	DML1
YBR221W-A	YBR221W-A	
YBL036C	YBL036C	
YGL202W	YGL202W	ARO8
YIL176C	YIL176C	PAU14
YOL147C	YOL147C	PEX11
YPR178W	YPR178W	PRP4
YFR007W	YFR007W	YFH7
YEL008W	YEL008W	
YGR072W	YGR072W	UPF3
YER022W	YER022W	SRB4
YNL069C	YNL069C	RPL16B
YIL118W	YIL118W	RHO3
YJR008W	YJR008W	MHO1
YKL217W	YKL217W	JEN1
YAR060C	YAR060C	
YCL010C	YCL010C	SGF29
YNL303W	YNL303W	
YPL036W	YPL036W	PMA2
YJR024C	YJR024C	MDE1
YBR042C	YBR042C	CST26
YAL047C	YAL047C	SPC72
YER056C-A	YER056C-A	RPL34A
YFR011C	YFR011C	MIC19
YDR256C	YDR256C	CTA1
YFL065C	YFL065C	
YNL287W	YNL287W	SEC21
YAL065C	YAL065C	
YGR103W	YGR103W	NOP7
YLR061W	YLR061W	RPL22A
YLR171W	YLR171W	
YGR161W-A	YGR161W-A	
YOR281C	YOR281C	PLP2
YBR162C	YBR162C	TOS1
YJL078C	YJL078C	PRY3
YMR114C	YMR114C	
YJL152W	YJL152W	
YGR251W	YGR251W	NOP19
YJL067W	YJL067W	
YBR094W	YBR094W	PBY1
YDR118W-A	YDR118W-A	
YGR065C	YGR065C	VHT1
YGR031C-A	YGR031C-A	NAG1
YEL017C-A	YEL017C-A	PMP2
YGL251C	YGL251C	HFM1
YOR260W	YOR260W	GCD1
YKL021C	YKL021C	MAK11
YKR028W	YKR028W	SAP190
YOR374W	YOR374W	ALD4
YHL026C	YHL026C	
YNR062C	YNR062C	
YHR014W	YHR014W	SPO13
YCR028C	YCR028C	FEN2
YDL015C	YDL015C	TSC13
YJL102W	YJL102W	MEF2
YCR016W	YCR016W	
YER058W	YER058W	PET117
YER149C	YER149C	PEA2
YJL147C	YJL147C	
YDL035C	YDL035C	GPR1
YDR533C	YDR533C	HSP31
YGL222C	YGL222C	EDC1
YDL090C	YDL090C	RAM1
YBR177C	YBR177C	EHT1
YJL034W	YJL034W	KAR2
YML012C-A	YML012C-A	
YNR059W	YNR059W	MNT4
YOR034C-A	YOR034C-A	
YGR156W	YGR156W	PTI1
YLR066W	YLR066W	SPC3
YBR125C	YBR125C	PTC4
YOR376W	YOR376W	
YBR173C	YBR173C	UMP1
YCL023C	YCL023C	
YHR057C	YHR057C	CPR2
YAL051W	YAL051W	OAF1
YOL162W	YOL162W	
YOR077W	YOR077W	RTS2
YLR234W	YLR234W	TOP3
YDR198C	YDR198C	RKM2
YJR124C	YJR124C	
YHR107C	YHR107C	CDC12
YER112W	YER112W	LSM4
YLL066C	YLL066C	
YCL026C-A	YCL026C-A	FRM2
YLR174W	YLR174W	IDP2
YCR018C-A	YCR018C-A	
YGR108W	YGR108W	CLB1
YDR346C	YDR346C	SVF1
YDL232W	YDL232W	OST4
YDR091C	YDR091C	RLI1
YER165C-A	YER165C-A	
YKR092C	YKR092C	SRP40
YLR269C	YLR269C	
YEL069C	YEL069C	HXT13
YLR117C	YLR117C	CLF1
YLR385C	YLR385C	SWC7
YBR250W	YBR250W	SPO23
YDR143C	YDR143C	SAN1
YER185W	YER185W	PUG1
YGL007W	YGL007W	BRP1
YAL031C	YAL031C	GIP4
YNR075C-A	YNR075C-A	
YOL013C	YOL013C	HRD1
YGR139W	YGR139W	
YLR089C	YLR089C	ALT1
YKL222C	YKL222C	
YKL155C	YKL155C	RSM22
YGR154C	YGR154C	GTO1
YNL277W	YNL277W	MET2
YOL061W	YOL061W	PRS5
YDL014W	YDL014W	NOP1
YFR013W	YFR013W	IOC3
YCL064C	YCL064C	CHA1
YDR493W	YDR493W	MZM1
YLR345W	YLR345W	
YGL022W	YGL022W	STT3
YLR192C	YLR192C	HCR1
YOR265W	YOR265W	RBL2
YCL019W	YCL019W	
YDR031W	YDR031W	MIX14
YOR333C	YOR333C	
YDL190C	YDL190C	UFD2
YKR083C	YKR083C	DAD2
YBR141C	YBR141C	BMT2
YAL008W	YAL008W	FUN14
YDR453C	YDR453C	TSA2
YDR191W	YDR191W	HST4
YDR490C	YDR490C	PKH1
YER107W-A	YER107W-A	
YLR459W	YLR459W	GAB1
YNL193W	YNL193W	
YHR099W	YHR099W	TRA1
YLR360W	YLR360W	VPS38
YKL070W	YKL070W	
YPR170W-B	YPR170W-B	
YKL145W-A	YKL145W-A	
YOR142W	YOR142W	LSC1
YDR304C	YDR304C	CPR5
YLR430W	YLR430W	SEN1
YPL020C	YPL020C	ULP1
YHL023C	YHL023C	NPR3
YLR165C	YLR165C	PUS5
YOR283W	YOR283W	
YMR052C-A	YMR052C-A	
YJR054W	YJR054W	KCH1
YOR053W	YOR053W	
YER084W-A	YER084W-A	
YHL005C	YHL005C	
YMR255W	YMR255W	GFD1
YDR029W	YDR029W	
YDR033W	YDR033W	MRH1
YPL154C	YPL154C	PEP4
YNL043C	YNL043C	
YDR253C	YDR253C	MET32
YAL032C	YAL032C	PRP45
YNL241C	YNL241C	ZWF1
YNL014W	YNL014W	HEF3
YEL011W	YEL011W	GLC3
YNL291C	YNL291C	MID1
YDL140C	YDL140C	RPO21
YLR079W	YLR079W	SIC1
YMR104C	YMR104C	YPK2
YOR348C	YOR348C	PUT4
YOR097C	YOR097C	
Q0143	Q0143	
YOR072W-B	YOR072W-B	
YHR103W	YHR103W	SBE22
YOL126C	YOL126C	MDH2
YOL107W	YOL107W	
YHR026W	YHR026W	VMA16
YGL061C	YGL061C	DUO1
YGR028W	YGR028W	MSP1
YMR141W-A	YMR141W-A	
YJL089W	YJL089W	SIP4
YKL116C	YKL116C	PRR1
YHR134W	YHR134W	WSS1
YOR022C	YOR022C	
YBR228W	YBR228W	SLX1
YNL320W	YNL320W	
YGR123C	YGR123C	PPT1
YBR269C	YBR269C	SDH8
YMR220W	YMR220W	ERG8
YLR290C	YLR290C	
YMR188C	YMR188C	MRPS17
YNL258C	YNL258C	DSL1
YNL075W	YNL075W	IMP4
YPR159W	YPR159W	KRE6
YMR198W	YMR198W	CIK1
YHR089C	YHR089C	GAR1
YBR194W	YBR194W	AIM4
YBR190W	YBR190W	
YNR018W	YNR018W	RCF2
YAL044C	YAL044C	GCV3
YKL197C	YKL197C	PEX1
YKL139W	YKL139W	CTK1
YGR138C	YGR138C	TPO2
YHR129C	YHR129C	ARP1
YLR436C	YLR436C	ECM30
YOR253W	YOR253W	NAT5
YNL268W	YNL268W	LYP1
YIL105C	YIL105C	SLM1
YDL029W	YDL029W	ARP2
YDR403W	YDR403W	DIT1
YOR132W	YOR132W	VPS17
YPR160C-A	YPR160C-A	
YCL026C-B	YCL026C-B	HBN1
YPR092W	YPR092W	
YDR525W-A	YDR525W-A	SNA2
YPL255W	YPL255W	BBP1
YEL012W	YEL012W	UBC8
YOR192C	YOR192C	THI72
YGL229C	YGL229C	SAP4
YER065C	YER065C	ICL1
YPR194C	YPR194C	OPT2
YOL005C	YOL005C	RPB11
YML052W	YML052W	SUR7
YML064C	YML064C	TEM1
YHL019C	YHL019C	APM2
YBR167C	YBR167C	POP7
YHL046C	YHL046C	PAU13
YPR176C	YPR176C	BET2
YFL016C	YFL016C	MDJ1
YLR383W	YLR383W	SMC6
YJL062W	YJL062W	LAS21
YDR140W	YDR140W	MTQ2
YNL252C	YNL252C	MRPL17
YLR048W	YLR048W	RPS0B
YGR282C	YGR282C	BGL2
YEL033W	YEL033W	MTC7
YMR196W	YMR196W	
YOR205C	YOR205C	GEP3
YLR299W	YLR299W	ECM38
YER056C	YER056C	FCY2
YBR188C	YBR188C	NTC20
YHR178W	YHR178W	STB5
YOR195W	YOR195W	SLK19
YER114C	YER114C	BOI2
YOR192C-C	YOR192C-C	
YJL191W	YJL191W	RPS14B
YGL258W	YGL258W	VEL1
YIL002C	YIL002C	INP51
YDR518W	YDR518W	EUG1
YKR021W	YKR021W	ALY1
YLR328W	YLR328W	NMA1
YKL173W	YKL173W	SNU114
YBL003C	YBL003C	HTA2
